problem_number,description,problem_type
1,The screw is too small for the hole,sizing issue
2,Bolt does not fit properly in the socket,fitting problem
3,The part is cracked and needs replacement,component damage
4,Machine is overheating during operation,thermal issue
5,Component is loose and vibrating,mechanical failure
6,The material is bent and deformed,structural damage
7,Electrical connection is faulty,electrical fault
8,Sensor is not responding correctly,sensor malfunction
9,The bearing is worn out and noisy,wear and tear
10,Hydraulic pressure is too low,pressure issue
11,The gasket is leaking fluid,seal failure
12,Motor is running at wrong speed,speed control
13,Temperature sensor shows incorrect readings,calibration error
14,The valve is stuck in closed position,mechanical jam
15,Wire insulation is damaged,insulation damage
16,The gear teeth are worn down,wear and tear
17,Pump is not delivering enough pressure,pressure issue
18,The filter is clogged with debris,blockage
19,Circuit breaker keeps tripping,electrical fault
20,The spring has lost its tension,spring failure
21,The screw is too small for the hole,sizing issue
22,Bolt does not fit properly in the socket,fitting problem
23,The part is cracked and needs replacement,component damage
24,Machine is overheating during operation,thermal issue
25,Component is loose and vibrating,mechanical failure
26,The material is bent and deformed,structural damage
27,Electrical connection is faulty,electrical fault
28,Sensor is not responding correctly,sensor malfunction
29,The bearing is worn out and noisy,wear and tear
30,Hydraulic pressure is too low,pressure issue
31,The gasket is leaking fluid,seal failure
32,Motor is running at wrong speed,speed control
33,Temperature sensor shows incorrect readings,calibration error
34,The valve is stuck in closed position,mechanical jam
35,Wire insulation is damaged,insulation damage
36,The gear teeth are worn down,wear and tear
37,Pump is not delivering enough pressure,pressure issue
38,The filter is clogged with debris,blockage
39,Circuit breaker keeps tripping,electrical fault
40,The spring has lost its tension,spring failure
41,The screw is too small for the hole,sizing issue
42,Bolt does not fit properly in the socket,fitting problem
43,The part is cracked and needs replacement,component damage
44,Machine is overheating during operation,thermal issue
45,Component is loose and vibrating,mechanical failure
46,The material is bent and deformed,structural damage
47,Electrical connection is faulty,electrical fault
48,Sensor is not responding correctly,sensor malfunction
49,The bearing is worn out and noisy,wear and tear
50,Hydraulic pressure is too low,pressure issue
51,The gasket is leaking fluid,seal failure
52,Motor is running at wrong speed,speed control
53,Temperature sensor shows incorrect readings,calibration error
54,The valve is stuck in closed position,mechanical jam
55,Wire insulation is damaged,insulation damage
56,The gear teeth are worn down,wear and tear
57,Pump is not delivering enough pressure,pressure issue
58,The filter is clogged with debris,blockage
59,Circuit breaker keeps tripping,electrical fault
60,The spring has lost its tension,spring failure
61,The screw is too small for the hole,sizing issue
62,Bolt does not fit properly in the socket,fitting problem
63,The part is cracked and needs replacement,component damage
64,Machine is overheating during operation,thermal issue
65,Component is loose and vibrating,mechanical failure
66,The material is bent and deformed,structural damage
67,Electrical connection is faulty,electrical fault
68,Sensor is not responding correctly,sensor malfunction
69,The bearing is worn out and noisy,wear and tear
70,Hydraulic pressure is too low,pressure issue
71,The gasket is leaking fluid,seal failure
72,Motor is running at wrong speed,speed control
73,Temperature sensor shows incorrect readings,calibration error
74,The valve is stuck in closed position,mechanical jam
75,Wire insulation is damaged,insulation damage
76,The gear teeth are worn down,wear and tear
77,Pump is not delivering enough pressure,pressure issue
78,The filter is clogged with debris,blockage
79,Circuit breaker keeps tripping,electrical fault
80,The spring has lost its tension,spring failure
81,The screw is too small for the hole,sizing issue
82,Bolt does not fit properly in the socket,fitting problem
83,The part is cracked and needs replacement,component damage
84,Machine is overheating during operation,thermal issue
85,Component is loose and vibrating,mechanical failure
86,The material is bent and deformed,structural damage
87,Electrical connection is faulty,electrical fault
88,Sensor is not responding correctly,sensor malfunction
89,The bearing is worn out and noisy,wear and tear
90,Hydraulic pressure is too low,pressure issue
91,The gasket is leaking fluid,seal failure
92,Motor is running at wrong speed,speed control
93,Temperature sensor shows incorrect readings,calibration error
94,The valve is stuck in closed position,mechanical jam
95,Wire insulation is damaged,insulation damage
96,The gear teeth are worn down,wear and tear
97,Pump is not delivering enough pressure,pressure issue
98,The filter is clogged with debris,blockage
99,Circuit breaker keeps tripping,electrical fault
100,The spring has lost its tension,spring failure
101,The screw is too small for the hole,sizing issue
102,Bolt does not fit properly in the socket,fitting problem
103,The part is cracked and needs replacement,component damage
104,Machine is overheating during operation,thermal issue
105,Component is loose and vibrating,mechanical failure
106,The material is bent and deformed,structural damage
107,Electrical connection is faulty,electrical fault
108,Sensor is not responding correctly,sensor malfunction
109,The bearing is worn out and noisy,wear and tear
110,Hydraulic pressure is too low,pressure issue
111,The gasket is leaking fluid,seal failure
112,Motor is running at wrong speed,speed control
113,Temperature sensor shows incorrect readings,calibration error
114,The valve is stuck in closed position,mechanical jam
115,Wire insulation is damaged,insulation damage
116,The gear teeth are worn down,wear and tear
117,Pump is not delivering enough pressure,pressure issue
118,The filter is clogged with debris,blockage
119,Circuit breaker keeps tripping,electrical fault
120,The spring has lost its tension,spring failure
121,The screw is too small for the hole,sizing issue
122,Bolt does not fit properly in the socket,fitting problem
123,The part is cracked and needs replacement,component damage
124,Machine is overheating during operation,thermal issue
125,Component is loose and vibrating,mechanical failure
126,The material is bent and deformed,structural damage
127,Electrical connection is faulty,electrical fault
128,Sensor is not responding correctly,sensor malfunction
129,The bearing is worn out and noisy,wear and tear
130,Hydraulic pressure is too low,pressure issue
131,The gasket is leaking fluid,seal failure
132,Motor is running at wrong speed,speed control
133,Temperature sensor shows incorrect readings,calibration error
134,The valve is stuck in closed position,mechanical jam
135,Wire insulation is damaged,insulation damage
136,The gear teeth are worn down,wear and tear
137,Pump is not delivering enough pressure,pressure issue
138,The filter is clogged with debris,blockage
139,Circuit breaker keeps tripping,electrical fault
140,The spring has lost its tension,spring failure
141,The screw is too small for the hole,sizing issue
142,Bolt does not fit properly in the socket,fitting problem
143,The part is cracked and needs replacement,component damage
144,Machine is overheating during operation,thermal issue
145,Component is loose and vibrating,mechanical failure
146,The material is bent and deformed,structural damage
147,Electrical connection is faulty,electrical fault
148,Sensor is not responding correctly,sensor malfunction
149,The bearing is worn out and noisy,wear and tear
150,Hydraulic pressure is too low,pressure issue
151,The gasket is leaking fluid,seal failure
152,Motor is running at wrong speed,speed control
153,Temperature sensor shows incorrect readings,calibration error
154,The valve is stuck in closed position,mechanical jam
155,Wire insulation is damaged,insulation damage
156,The gear teeth are worn down,wear and tear
157,Pump is not delivering enough pressure,pressure issue
158,The filter is clogged with debris,blockage
159,Circuit breaker keeps tripping,electrical fault
160,The spring has lost its tension,spring failure
161,The screw is too small for the hole,sizing issue
162,Bolt does not fit properly in the socket,fitting problem
163,The part is cracked and needs replacement,component damage
164,Machine is overheating during operation,thermal issue
165,Component is loose and vibrating,mechanical failure
166,The material is bent and deformed,structural damage
167,Electrical connection is faulty,electrical fault
168,Sensor is not responding correctly,sensor malfunction
169,The bearing is worn out and noisy,wear and tear
170,Hydraulic pressure is too low,pressure issue
171,The gasket is leaking fluid,seal failure
172,Motor is running at wrong speed,speed control
173,Temperature sensor shows incorrect readings,calibration error
174,The valve is stuck in closed position,mechanical jam
175,Wire insulation is damaged,insulation damage
176,The gear teeth are worn down,wear and tear
177,Pump is not delivering enough pressure,pressure issue
178,The filter is clogged with debris,blockage
179,Circuit breaker keeps tripping,electrical fault
180,The spring has lost its tension,spring failure
181,The screw is too small for the hole,sizing issue
182,Bolt does not fit properly in the socket,fitting problem
183,The part is cracked and needs replacement,component damage
184,Machine is overheating during operation,thermal issue
185,Component is loose and vibrating,mechanical failure
186,The material is bent and deformed,structural damage
187,Electrical connection is faulty,electrical fault
188,Sensor is not responding correctly,sensor malfunction
189,The bearing is worn out and noisy,wear and tear
190,Hydraulic pressure is too low,pressure issue
191,The gasket is leaking fluid,seal failure
192,Motor is running at wrong speed,speed control
193,Temperature sensor shows incorrect readings,calibration error
194,The valve is stuck in closed position,mechanical jam
195,Wire insulation is damaged,insulation damage
196,The gear teeth are worn down,wear and tear
197,Pump is not delivering enough pressure,pressure issue
198,The filter is clogged with debris,blockage
199,Circuit breaker keeps tripping,electrical fault
200,The spring has lost its tension,spring failure
201,The screw is too small for the hole,sizing issue
202,Bolt does not fit properly in the socket,fitting problem
203,The part is cracked and needs replacement,component damage
204,Machine is overheating during operation,thermal issue
205,Component is loose and vibrating,mechanical failure
206,The material is bent and deformed,structural damage
207,Electrical connection is faulty,electrical fault
208,Sensor is not responding correctly,sensor malfunction
209,The bearing is worn out and noisy,wear and tear
210,Hydraulic pressure is too low,pressure issue
211,The gasket is leaking fluid,seal failure
212,Motor is running at wrong speed,speed control
213,Temperature sensor shows incorrect readings,calibration error
214,The valve is stuck in closed position,mechanical jam
215,Wire insulation is damaged,insulation damage
216,The gear teeth are worn down,wear and tear
217,Pump is not delivering enough pressure,pressure issue
218,The filter is clogged with debris,blockage
219,Circuit breaker keeps tripping,electrical fault
220,The spring has lost its tension,spring failure
221,The screw is too small for the hole,sizing issue
222,Bolt does not fit properly in the socket,fitting problem
223,The part is cracked and needs replacement,component damage
224,Machine is overheating during operation,thermal issue
225,Component is loose and vibrating,mechanical failure
226,The material is bent and deformed,structural damage
227,Electrical connection is faulty,electrical fault
228,Sensor is not responding correctly,sensor malfunction
229,The bearing is worn out and noisy,wear and tear
230,Hydraulic pressure is too low,pressure issue
231,The gasket is leaking fluid,seal failure
232,Motor is running at wrong speed,speed control
233,Temperature sensor shows incorrect readings,calibration error
234,The valve is stuck in closed position,mechanical jam
235,Wire insulation is damaged,insulation damage
236,The gear teeth are worn down,wear and tear
237,Pump is not delivering enough pressure,pressure issue
238,The filter is clogged with debris,blockage
239,Circuit breaker keeps tripping,electrical fault
240,The spring has lost its tension,spring failure
241,The screw is too small for the hole,sizing issue
242,Bolt does not fit properly in the socket,fitting problem
243,The part is cracked and needs replacement,component damage
244,Machine is overheating during operation,thermal issue
245,Component is loose and vibrating,mechanical failure
246,The material is bent and deformed,structural damage
247,Electrical connection is faulty,electrical fault
248,Sensor is not responding correctly,sensor malfunction
249,The bearing is worn out and noisy,wear and tear
250,Hydraulic pressure is too low,pressure issue
251,The gasket is leaking fluid,seal failure
252,Motor is running at wrong speed,speed control
253,Temperature sensor shows incorrect readings,calibration error
254,The valve is stuck in closed position,mechanical jam
255,Wire insulation is damaged,insulation damage
256,The gear teeth are worn down,wear and tear
257,Pump is not delivering enough pressure,pressure issue
258,The filter is clogged with debris,blockage
259,Circuit breaker keeps tripping,electrical fault
260,The spring has lost its tension,spring failure
261,The screw is too small for the hole,sizing issue
262,Bolt does not fit properly in the socket,fitting problem
263,The part is cracked and needs replacement,component damage
264,Machine is overheating during operation,thermal issue
265,Component is loose and vibrating,mechanical failure
266,The material is bent and deformed,structural damage
267,Electrical connection is faulty,electrical fault
268,Sensor is not responding correctly,sensor malfunction
269,The bearing is worn out and noisy,wear and tear
270,Hydraulic pressure is too low,pressure issue
271,The gasket is leaking fluid,seal failure
272,Motor is running at wrong speed,speed control
273,Temperature sensor shows incorrect readings,calibration error
274,The valve is stuck in closed position,mechanical jam
275,Wire insulation is damaged,insulation damage
276,The gear teeth are worn down,wear and tear
277,Pump is not delivering enough pressure,pressure issue
278,The filter is clogged with debris,blockage
279,Circuit breaker keeps tripping,electrical fault
280,The spring has lost its tension,spring failure
281,The screw is too small for the hole,sizing issue
282,Bolt does not fit properly in the socket,fitting problem
283,The part is cracked and needs replacement,component damage
284,Machine is overheating during operation,thermal issue
285,Component is loose and vibrating,mechanical failure
286,The material is bent and deformed,structural damage
287,Electrical connection is faulty,electrical fault
288,Sensor is not responding correctly,sensor malfunction
289,The bearing is worn out and noisy,wear and tear
290,Hydraulic pressure is too low,pressure issue
291,The gasket is leaking fluid,seal failure
292,Motor is running at wrong speed,speed control
293,Temperature sensor shows incorrect readings,calibration error
294,The valve is stuck in closed position,mechanical jam
295,Wire insulation is damaged,insulation damage
296,The gear teeth are worn down,wear and tear
297,Pump is not delivering enough pressure,pressure issue
298,The filter is clogged with debris,blockage
299,Circuit breaker keeps tripping,electrical fault
300,The spring has lost its tension,spring failure
301,The screw is too small for the hole,sizing issue
302,Bolt does not fit properly in the socket,fitting problem
303,The part is cracked and needs replacement,component damage
304,Machine is overheating during operation,thermal issue
305,Component is loose and vibrating,mechanical failure
306,The material is bent and deformed,structural damage
307,Electrical connection is faulty,electrical fault
308,Sensor is not responding correctly,sensor malfunction
309,The bearing is worn out and noisy,wear and tear
310,Hydraulic pressure is too low,pressure issue
311,The gasket is leaking fluid,seal failure
312,Motor is running at wrong speed,speed control
313,Temperature sensor shows incorrect readings,calibration error
314,The valve is stuck in closed position,mechanical jam
315,Wire insulation is damaged,insulation damage
316,The gear teeth are worn down,wear and tear
317,Pump is not delivering enough pressure,pressure issue
318,The filter is clogged with debris,blockage
319,Circuit breaker keeps tripping,electrical fault
320,The spring has lost its tension,spring failure
321,The screw is too small for the hole,sizing issue
322,Bolt does not fit properly in the socket,fitting problem
323,The part is cracked and needs replacement,component damage
324,Machine is overheating during operation,thermal issue
325,Component is loose and vibrating,mechanical failure
326,The material is bent and deformed,structural damage
327,Electrical connection is faulty,electrical fault
328,Sensor is not responding correctly,sensor malfunction
329,The bearing is worn out and noisy,wear and tear
330,Hydraulic pressure is too low,pressure issue
331,The gasket is leaking fluid,seal failure
332,Motor is running at wrong speed,speed control
333,Temperature sensor shows incorrect readings,calibration error
334,The valve is stuck in closed position,mechanical jam
335,Wire insulation is damaged,insulation damage
336,The gear teeth are worn down,wear and tear
337,Pump is not delivering enough pressure,pressure issue
338,The filter is clogged with debris,blockage
339,Circuit breaker keeps tripping,electrical fault
340,The spring has lost its tension,spring failure
341,The screw is too small for the hole,sizing issue
342,Bolt does not fit properly in the socket,fitting problem
343,The part is cracked and needs replacement,component damage
344,Machine is overheating during operation,thermal issue
345,Component is loose and vibrating,mechanical failure
346,The material is bent and deformed,structural damage
347,Electrical connection is faulty,electrical fault
348,Sensor is not responding correctly,sensor malfunction
349,The bearing is worn out and noisy,wear and tear
350,Hydraulic pressure is too low,pressure issue
351,The gasket is leaking fluid,seal failure
352,Motor is running at wrong speed,speed control
353,Temperature sensor shows incorrect readings,calibration error
354,The valve is stuck in closed position,mechanical jam
355,Wire insulation is damaged,insulation damage
356,The gear teeth are worn down,wear and tear
357,Pump is not delivering enough pressure,pressure issue
358,The filter is clogged with debris,blockage
359,Circuit breaker keeps tripping,electrical fault
360,The spring has lost its tension,spring failure
361,The screw is too small for the hole,sizing issue
362,Bolt does not fit properly in the socket,fitting problem
363,The part is cracked and needs replacement,component damage
364,Machine is overheating during operation,thermal issue
365,Component is loose and vibrating,mechanical failure
366,The material is bent and deformed,structural damage
367,Electrical connection is faulty,electrical fault
368,Sensor is not responding correctly,sensor malfunction
369,The bearing is worn out and noisy,wear and tear
370,Hydraulic pressure is too low,pressure issue
371,The gasket is leaking fluid,seal failure
372,Motor is running at wrong speed,speed control
373,Temperature sensor shows incorrect readings,calibration error
374,The valve is stuck in closed position,mechanical jam
375,Wire insulation is damaged,insulation damage
376,The gear teeth are worn down,wear and tear
377,Pump is not delivering enough pressure,pressure issue
378,The filter is clogged with debris,blockage
379,Circuit breaker keeps tripping,electrical fault
380,The spring has lost its tension,spring failure
381,The screw is too small for the hole,sizing issue
382,Bolt does not fit properly in the socket,fitting problem
383,The part is cracked and needs replacement,component damage
384,Machine is overheating during operation,thermal issue
385,Component is loose and vibrating,mechanical failure
386,The material is bent and deformed,structural damage
387,Electrical connection is faulty,electrical fault
388,Sensor is not responding correctly,sensor malfunction
389,The bearing is worn out and noisy,wear and tear
390,Hydraulic pressure is too low,pressure issue
391,The gasket is leaking fluid,seal failure
392,Motor is running at wrong speed,speed control
393,Temperature sensor shows incorrect readings,calibration error
394,The valve is stuck in closed position,mechanical jam
395,Wire insulation is damaged,insulation damage
396,The gear teeth are worn down,wear and tear
397,Pump is not delivering enough pressure,pressure issue
398,The filter is clogged with debris,blockage
399,Circuit breaker keeps tripping,electrical fault
400,The spring has lost its tension,spring failure
401,The screw is too small for the hole,sizing issue
402,Bolt does not fit properly in the socket,fitting problem
403,The part is cracked and needs replacement,component damage
404,Machine is overheating during operation,thermal issue
405,Component is loose and vibrating,mechanical failure
406,The material is bent and deformed,structural damage
407,Electrical connection is faulty,electrical fault
408,Sensor is not responding correctly,sensor malfunction
409,The bearing is worn out and noisy,wear and tear
410,Hydraulic pressure is too low,pressure issue
411,The gasket is leaking fluid,seal failure
412,Motor is running at wrong speed,speed control
413,Temperature sensor shows incorrect readings,calibration error
414,The valve is stuck in closed position,mechanical jam
415,Wire insulation is damaged,insulation damage
416,The gear teeth are worn down,wear and tear
417,Pump is not delivering enough pressure,pressure issue
418,The filter is clogged with debris,blockage
419,Circuit breaker keeps tripping,electrical fault
420,The spring has lost its tension,spring failure
421,The screw is too small for the hole,sizing issue
422,Bolt does not fit properly in the socket,fitting problem
423,The part is cracked and needs replacement,component damage
424,Machine is overheating during operation,thermal issue
425,Component is loose and vibrating,mechanical failure
426,The material is bent and deformed,structural damage
427,Electrical connection is faulty,electrical fault
428,Sensor is not responding correctly,sensor malfunction
429,The bearing is worn out and noisy,wear and tear
430,Hydraulic pressure is too low,pressure issue
431,The gasket is leaking fluid,seal failure
432,Motor is running at wrong speed,speed control
433,Temperature sensor shows incorrect readings,calibration error
434,The valve is stuck in closed position,mechanical jam
435,Wire insulation is damaged,insulation damage
436,The gear teeth are worn down,wear and tear
437,Pump is not delivering enough pressure,pressure issue
438,The filter is clogged with debris,blockage
439,Circuit breaker keeps tripping,electrical fault
440,The spring has lost its tension,spring failure
441,The screw is too small for the hole,sizing issue
442,Bolt does not fit properly in the socket,fitting problem
443,The part is cracked and needs replacement,component damage
444,Machine is overheating during operation,thermal issue
445,Component is loose and vibrating,mechanical failure
446,The material is bent and deformed,structural damage
447,Electrical connection is faulty,electrical fault
448,Sensor is not responding correctly,sensor malfunction
449,The bearing is worn out and noisy,wear and tear
450,Hydraulic pressure is too low,pressure issue
451,The gasket is leaking fluid,seal failure
452,Motor is running at wrong speed,speed control
453,Temperature sensor shows incorrect readings,calibration error
454,The valve is stuck in closed position,mechanical jam
455,Wire insulation is damaged,insulation damage
456,The gear teeth are worn down,wear and tear
457,Pump is not delivering enough pressure,pressure issue
458,The filter is clogged with debris,blockage
459,Circuit breaker keeps tripping,electrical fault
460,The spring has lost its tension,spring failure
461,The screw is too small for the hole,sizing issue
462,Bolt does not fit properly in the socket,fitting problem
463,The part is cracked and needs replacement,component damage
464,Machine is overheating during operation,thermal issue
465,Component is loose and vibrating,mechanical failure
466,The material is bent and deformed,structural damage
467,Electrical connection is faulty,electrical fault
468,Sensor is not responding correctly,sensor malfunction
469,The bearing is worn out and noisy,wear and tear
470,Hydraulic pressure is too low,pressure issue
471,The gasket is leaking fluid,seal failure
472,Motor is running at wrong speed,speed control
473,Temperature sensor shows incorrect readings,calibration error
474,The valve is stuck in closed position,mechanical jam
475,Wire insulation is damaged,insulation damage
476,The gear teeth are worn down,wear and tear
477,Pump is not delivering enough pressure,pressure issue
478,The filter is clogged with debris,blockage
479,Circuit breaker keeps tripping,electrical fault
480,The spring has lost its tension,spring failure
481,The screw is too small for the hole,sizing issue
482,Bolt does not fit properly in the socket,fitting problem
483,The part is cracked and needs replacement,component damage
484,Machine is overheating during operation,thermal issue
485,Component is loose and vibrating,mechanical failure
486,The material is bent and deformed,structural damage
487,Electrical connection is faulty,electrical fault
488,Sensor is not responding correctly,sensor malfunction
489,The bearing is worn out and noisy,wear and tear
490,Hydraulic pressure is too low,pressure issue
491,The gasket is leaking fluid,seal failure
492,Motor is running at wrong speed,speed control
493,Temperature sensor shows incorrect readings,calibration error
494,The valve is stuck in closed position,mechanical jam
495,Wire insulation is damaged,insulation damage
496,The gear teeth are worn down,wear and tear
497,Pump is not delivering enough pressure,pressure issue
498,The filter is clogged with debris,blockage
499,Circuit breaker keeps tripping,electrical fault
500,The spring has lost its tension,spring failure
