problem_number,description,problem_type
501,The screw is too small for the hole,sizing issue
502,Bolt does not fit properly in the socket,fitting problem
503,The part is cracked and needs replacement,component damage
504,Machine is overheating during operation,thermal issue
505,Component is loose and vibrating,mechanical failure
506,The material is bent and deformed,structural damage
507,Electrical connection is faulty,electrical fault
508,Sensor is not responding correctly,sensor malfunction
509,The bearing is worn out and noisy,wear and tear
510,Hydraulic pressure is too low,pressure issue
511,The gasket is leaking fluid,seal failure
512,Motor is running at wrong speed,speed control
513,Temperature sensor shows incorrect readings,calibration error
514,The valve is stuck in closed position,mechanical jam
515,Wire insulation is damaged,insulation damage
516,The gear teeth are worn down,wear and tear
517,Pump is not delivering enough pressure,pressure issue
518,The filter is clogged with debris,blockage
519,Circuit breaker keeps tripping,electrical fault
520,The spring has lost its tension,spring failure
521,The screw is too small for the hole,sizing issue
522,Bolt does not fit properly in the socket,fitting problem
523,The part is cracked and needs replacement,component damage
524,Machine is overheating during operation,thermal issue
525,Component is loose and vibrating,mechanical failure
526,The material is bent and deformed,structural damage
527,Electrical connection is faulty,electrical fault
528,Sensor is not responding correctly,sensor malfunction
529,The bearing is worn out and noisy,wear and tear
530,Hydraulic pressure is too low,pressure issue
531,The gasket is leaking fluid,seal failure
532,Motor is running at wrong speed,speed control
533,Temperature sensor shows incorrect readings,calibration error
534,The valve is stuck in closed position,mechanical jam
535,Wire insulation is damaged,insulation damage
536,The gear teeth are worn down,wear and tear
537,Pump is not delivering enough pressure,pressure issue
538,The filter is clogged with debris,blockage
539,Circuit breaker keeps tripping,electrical fault
540,The spring has lost its tension,spring failure
541,The screw is too small for the hole,sizing issue
542,Bolt does not fit properly in the socket,fitting problem
543,The part is cracked and needs replacement,component damage
544,Machine is overheating during operation,thermal issue
545,Component is loose and vibrating,mechanical failure
546,The material is bent and deformed,structural damage
547,Electrical connection is faulty,electrical fault
548,Sensor is not responding correctly,sensor malfunction
549,The bearing is worn out and noisy,wear and tear
550,Hydraulic pressure is too low,pressure issue
551,The gasket is leaking fluid,seal failure
552,Motor is running at wrong speed,speed control
553,Temperature sensor shows incorrect readings,calibration error
554,The valve is stuck in closed position,mechanical jam
555,Wire insulation is damaged,insulation damage
556,The gear teeth are worn down,wear and tear
557,Pump is not delivering enough pressure,pressure issue
558,The filter is clogged with debris,blockage
559,Circuit breaker keeps tripping,electrical fault
560,The spring has lost its tension,spring failure
561,The screw is too small for the hole,sizing issue
562,Bolt does not fit properly in the socket,fitting problem
563,The part is cracked and needs replacement,component damage
564,Machine is overheating during operation,thermal issue
565,Component is loose and vibrating,mechanical failure
566,The material is bent and deformed,structural damage
567,Electrical connection is faulty,electrical fault
568,Sensor is not responding correctly,sensor malfunction
569,The bearing is worn out and noisy,wear and tear
570,Hydraulic pressure is too low,pressure issue
571,The gasket is leaking fluid,seal failure
572,Motor is running at wrong speed,speed control
573,Temperature sensor shows incorrect readings,calibration error
574,The valve is stuck in closed position,mechanical jam
575,Wire insulation is damaged,insulation damage
576,The gear teeth are worn down,wear and tear
577,Pump is not delivering enough pressure,pressure issue
578,The filter is clogged with debris,blockage
579,Circuit breaker keeps tripping,electrical fault
580,The spring has lost its tension,spring failure
581,The screw is too small for the hole,sizing issue
582,Bolt does not fit properly in the socket,fitting problem
583,The part is cracked and needs replacement,component damage
584,Machine is overheating during operation,thermal issue
585,Component is loose and vibrating,mechanical failure
586,The material is bent and deformed,structural damage
587,Electrical connection is faulty,electrical fault
588,Sensor is not responding correctly,sensor malfunction
589,The bearing is worn out and noisy,wear and tear
590,Hydraulic pressure is too low,pressure issue
591,The gasket is leaking fluid,seal failure
592,Motor is running at wrong speed,speed control
593,Temperature sensor shows incorrect readings,calibration error
594,The valve is stuck in closed position,mechanical jam
595,Wire insulation is damaged,insulation damage
596,The gear teeth are worn down,wear and tear
597,Pump is not delivering enough pressure,pressure issue
598,The filter is clogged with debris,blockage
599,Circuit breaker keeps tripping,electrical fault
600,The spring has lost its tension,spring failure
601,The screw is too small for the hole,sizing issue
602,Bolt does not fit properly in the socket,fitting problem
603,The part is cracked and needs replacement,component damage
604,Machine is overheating during operation,thermal issue
605,Component is loose and vibrating,mechanical failure
606,The material is bent and deformed,structural damage
607,Electrical connection is faulty,electrical fault
608,Sensor is not responding correctly,sensor malfunction
609,The bearing is worn out and noisy,wear and tear
610,Hydraulic pressure is too low,pressure issue
611,The gasket is leaking fluid,seal failure
612,Motor is running at wrong speed,speed control
613,Temperature sensor shows incorrect readings,calibration error
614,The valve is stuck in closed position,mechanical jam
615,Wire insulation is damaged,insulation damage
616,The gear teeth are worn down,wear and tear
617,Pump is not delivering enough pressure,pressure issue
618,The filter is clogged with debris,blockage
619,Circuit breaker keeps tripping,electrical fault
620,The spring has lost its tension,spring failure
621,The screw is too small for the hole,sizing issue
622,Bolt does not fit properly in the socket,fitting problem
623,The part is cracked and needs replacement,component damage
624,Machine is overheating during operation,thermal issue
625,Component is loose and vibrating,mechanical failure
626,The material is bent and deformed,structural damage
627,Electrical connection is faulty,electrical fault
628,Sensor is not responding correctly,sensor malfunction
629,The bearing is worn out and noisy,wear and tear
630,Hydraulic pressure is too low,pressure issue
631,The gasket is leaking fluid,seal failure
632,Motor is running at wrong speed,speed control
633,Temperature sensor shows incorrect readings,calibration error
634,The valve is stuck in closed position,mechanical jam
635,Wire insulation is damaged,insulation damage
636,The gear teeth are worn down,wear and tear
637,Pump is not delivering enough pressure,pressure issue
638,The filter is clogged with debris,blockage
639,Circuit breaker keeps tripping,electrical fault
640,The spring has lost its tension,spring failure
641,The screw is too small for the hole,sizing issue
642,Bolt does not fit properly in the socket,fitting problem
643,The part is cracked and needs replacement,component damage
644,Machine is overheating during operation,thermal issue
645,Component is loose and vibrating,mechanical failure
646,The material is bent and deformed,structural damage
647,Electrical connection is faulty,electrical fault
648,Sensor is not responding correctly,sensor malfunction
649,The bearing is worn out and noisy,wear and tear
650,Hydraulic pressure is too low,pressure issue
651,The gasket is leaking fluid,seal failure
652,Motor is running at wrong speed,speed control
653,Temperature sensor shows incorrect readings,calibration error
654,The valve is stuck in closed position,mechanical jam
655,Wire insulation is damaged,insulation damage
656,The gear teeth are worn down,wear and tear
657,Pump is not delivering enough pressure,pressure issue
658,The filter is clogged with debris,blockage
659,Circuit breaker keeps tripping,electrical fault
660,The spring has lost its tension,spring failure
661,The screw is too small for the hole,sizing issue
662,Bolt does not fit properly in the socket,fitting problem
663,The part is cracked and needs replacement,component damage
664,Machine is overheating during operation,thermal issue
665,Component is loose and vibrating,mechanical failure
666,The material is bent and deformed,structural damage
667,Electrical connection is faulty,electrical fault
668,Sensor is not responding correctly,sensor malfunction
669,The bearing is worn out and noisy,wear and tear
670,Hydraulic pressure is too low,pressure issue
671,The gasket is leaking fluid,seal failure
672,Motor is running at wrong speed,speed control
673,Temperature sensor shows incorrect readings,calibration error
674,The valve is stuck in closed position,mechanical jam
675,Wire insulation is damaged,insulation damage
676,The gear teeth are worn down,wear and tear
677,Pump is not delivering enough pressure,pressure issue
678,The filter is clogged with debris,blockage
679,Circuit breaker keeps tripping,electrical fault
680,The spring has lost its tension,spring failure
681,The screw is too small for the hole,sizing issue
682,Bolt does not fit properly in the socket,fitting problem
683,The part is cracked and needs replacement,component damage
684,Machine is overheating during operation,thermal issue
685,Component is loose and vibrating,mechanical failure
686,The material is bent and deformed,structural damage
687,Electrical connection is faulty,electrical fault
688,Sensor is not responding correctly,sensor malfunction
689,The bearing is worn out and noisy,wear and tear
690,Hydraulic pressure is too low,pressure issue
691,The gasket is leaking fluid,seal failure
692,Motor is running at wrong speed,speed control
693,Temperature sensor shows incorrect readings,calibration error
694,The valve is stuck in closed position,mechanical jam
695,Wire insulation is damaged,insulation damage
696,The gear teeth are worn down,wear and tear
697,Pump is not delivering enough pressure,pressure issue
698,The filter is clogged with debris,blockage
699,Circuit breaker keeps tripping,electrical fault
700,The spring has lost its tension,spring failure
701,The screw is too small for the hole,sizing issue
702,Bolt does not fit properly in the socket,fitting problem
703,The part is cracked and needs replacement,component damage
704,Machine is overheating during operation,thermal issue
705,Component is loose and vibrating,mechanical failure
706,The material is bent and deformed,structural damage
707,Electrical connection is faulty,electrical fault
708,Sensor is not responding correctly,sensor malfunction
709,The bearing is worn out and noisy,wear and tear
710,Hydraulic pressure is too low,pressure issue
711,The gasket is leaking fluid,seal failure
712,Motor is running at wrong speed,speed control
713,Temperature sensor shows incorrect readings,calibration error
714,The valve is stuck in closed position,mechanical jam
715,Wire insulation is damaged,insulation damage
716,The gear teeth are worn down,wear and tear
717,Pump is not delivering enough pressure,pressure issue
718,The filter is clogged with debris,blockage
719,Circuit breaker keeps tripping,electrical fault
720,The spring has lost its tension,spring failure
721,The screw is too small for the hole,sizing issue
722,Bolt does not fit properly in the socket,fitting problem
723,The part is cracked and needs replacement,component damage
724,Machine is overheating during operation,thermal issue
725,Component is loose and vibrating,mechanical failure
726,The material is bent and deformed,structural damage
727,Electrical connection is faulty,electrical fault
728,Sensor is not responding correctly,sensor malfunction
729,The bearing is worn out and noisy,wear and tear
730,Hydraulic pressure is too low,pressure issue
731,The gasket is leaking fluid,seal failure
732,Motor is running at wrong speed,speed control
733,Temperature sensor shows incorrect readings,calibration error
734,The valve is stuck in closed position,mechanical jam
735,Wire insulation is damaged,insulation damage
736,The gear teeth are worn down,wear and tear
737,Pump is not delivering enough pressure,pressure issue
738,The filter is clogged with debris,blockage
739,Circuit breaker keeps tripping,electrical fault
740,The spring has lost its tension,spring failure
741,The screw is too small for the hole,sizing issue
742,Bolt does not fit properly in the socket,fitting problem
743,The part is cracked and needs replacement,component damage
744,Machine is overheating during operation,thermal issue
745,Component is loose and vibrating,mechanical failure
746,The material is bent and deformed,structural damage
747,Electrical connection is faulty,electrical fault
748,Sensor is not responding correctly,sensor malfunction
749,The bearing is worn out and noisy,wear and tear
750,Hydraulic pressure is too low,pressure issue
751,The gasket is leaking fluid,seal failure
752,Motor is running at wrong speed,speed control
753,Temperature sensor shows incorrect readings,calibration error
754,The valve is stuck in closed position,mechanical jam
755,Wire insulation is damaged,insulation damage
756,The gear teeth are worn down,wear and tear
757,Pump is not delivering enough pressure,pressure issue
758,The filter is clogged with debris,blockage
759,Circuit breaker keeps tripping,electrical fault
760,The spring has lost its tension,spring failure
761,The screw is too small for the hole,sizing issue
762,Bolt does not fit properly in the socket,fitting problem
763,The part is cracked and needs replacement,component damage
764,Machine is overheating during operation,thermal issue
765,Component is loose and vibrating,mechanical failure
766,The material is bent and deformed,structural damage
767,Electrical connection is faulty,electrical fault
768,Sensor is not responding correctly,sensor malfunction
769,The bearing is worn out and noisy,wear and tear
770,Hydraulic pressure is too low,pressure issue
771,The gasket is leaking fluid,seal failure
772,Motor is running at wrong speed,speed control
773,Temperature sensor shows incorrect readings,calibration error
774,The valve is stuck in closed position,mechanical jam
775,Wire insulation is damaged,insulation damage
776,The gear teeth are worn down,wear and tear
777,Pump is not delivering enough pressure,pressure issue
778,The filter is clogged with debris,blockage
779,Circuit breaker keeps tripping,electrical fault
780,The spring has lost its tension,spring failure
781,The screw is too small for the hole,sizing issue
782,Bolt does not fit properly in the socket,fitting problem
783,The part is cracked and needs replacement,component damage
784,Machine is overheating during operation,thermal issue
785,Component is loose and vibrating,mechanical failure
786,The material is bent and deformed,structural damage
787,Electrical connection is faulty,electrical fault
788,Sensor is not responding correctly,sensor malfunction
789,The bearing is worn out and noisy,wear and tear
790,Hydraulic pressure is too low,pressure issue
791,The gasket is leaking fluid,seal failure
792,Motor is running at wrong speed,speed control
793,Temperature sensor shows incorrect readings,calibration error
794,The valve is stuck in closed position,mechanical jam
795,Wire insulation is damaged,insulation damage
796,The gear teeth are worn down,wear and tear
797,Pump is not delivering enough pressure,pressure issue
798,The filter is clogged with debris,blockage
799,Circuit breaker keeps tripping,electrical fault
800,The spring has lost its tension,spring failure
801,The screw is too small for the hole,sizing issue
802,Bolt does not fit properly in the socket,fitting problem
803,The part is cracked and needs replacement,component damage
804,Machine is overheating during operation,thermal issue
805,Component is loose and vibrating,mechanical failure
806,The material is bent and deformed,structural damage
807,Electrical connection is faulty,electrical fault
808,Sensor is not responding correctly,sensor malfunction
809,The bearing is worn out and noisy,wear and tear
810,Hydraulic pressure is too low,pressure issue
811,The gasket is leaking fluid,seal failure
812,Motor is running at wrong speed,speed control
813,Temperature sensor shows incorrect readings,calibration error
814,The valve is stuck in closed position,mechanical jam
815,Wire insulation is damaged,insulation damage
816,The gear teeth are worn down,wear and tear
817,Pump is not delivering enough pressure,pressure issue
818,The filter is clogged with debris,blockage
819,Circuit breaker keeps tripping,electrical fault
820,The spring has lost its tension,spring failure
821,The screw is too small for the hole,sizing issue
822,Bolt does not fit properly in the socket,fitting problem
823,The part is cracked and needs replacement,component damage
824,Machine is overheating during operation,thermal issue
825,Component is loose and vibrating,mechanical failure
826,The material is bent and deformed,structural damage
827,Electrical connection is faulty,electrical fault
828,Sensor is not responding correctly,sensor malfunction
829,The bearing is worn out and noisy,wear and tear
830,Hydraulic pressure is too low,pressure issue
831,The gasket is leaking fluid,seal failure
832,Motor is running at wrong speed,speed control
833,Temperature sensor shows incorrect readings,calibration error
834,The valve is stuck in closed position,mechanical jam
835,Wire insulation is damaged,insulation damage
836,The gear teeth are worn down,wear and tear
837,Pump is not delivering enough pressure,pressure issue
838,The filter is clogged with debris,blockage
839,Circuit breaker keeps tripping,electrical fault
840,The spring has lost its tension,spring failure
841,The screw is too small for the hole,sizing issue
842,Bolt does not fit properly in the socket,fitting problem
843,The part is cracked and needs replacement,component damage
844,Machine is overheating during operation,thermal issue
845,Component is loose and vibrating,mechanical failure
846,The material is bent and deformed,structural damage
847,Electrical connection is faulty,electrical fault
848,Sensor is not responding correctly,sensor malfunction
849,The bearing is worn out and noisy,wear and tear
850,Hydraulic pressure is too low,pressure issue
851,The gasket is leaking fluid,seal failure
852,Motor is running at wrong speed,speed control
853,Temperature sensor shows incorrect readings,calibration error
854,The valve is stuck in closed position,mechanical jam
855,Wire insulation is damaged,insulation damage
856,The gear teeth are worn down,wear and tear
857,Pump is not delivering enough pressure,pressure issue
858,The filter is clogged with debris,blockage
859,Circuit breaker keeps tripping,electrical fault
860,The spring has lost its tension,spring failure
861,The screw is too small for the hole,sizing issue
862,Bolt does not fit properly in the socket,fitting problem
863,The part is cracked and needs replacement,component damage
864,Machine is overheating during operation,thermal issue
865,Component is loose and vibrating,mechanical failure
866,The material is bent and deformed,structural damage
867,Electrical connection is faulty,electrical fault
868,Sensor is not responding correctly,sensor malfunction
869,The bearing is worn out and noisy,wear and tear
870,Hydraulic pressure is too low,pressure issue
871,The gasket is leaking fluid,seal failure
872,Motor is running at wrong speed,speed control
873,Temperature sensor shows incorrect readings,calibration error
874,The valve is stuck in closed position,mechanical jam
875,Wire insulation is damaged,insulation damage
876,The gear teeth are worn down,wear and tear
877,Pump is not delivering enough pressure,pressure issue
878,The filter is clogged with debris,blockage
879,Circuit breaker keeps tripping,electrical fault
880,The spring has lost its tension,spring failure
881,The screw is too small for the hole,sizing issue
882,Bolt does not fit properly in the socket,fitting problem
883,The part is cracked and needs replacement,component damage
884,Machine is overheating during operation,thermal issue
885,Component is loose and vibrating,mechanical failure
886,The material is bent and deformed,structural damage
887,Electrical connection is faulty,electrical fault
888,Sensor is not responding correctly,sensor malfunction
889,The bearing is worn out and noisy,wear and tear
890,Hydraulic pressure is too low,pressure issue
891,The gasket is leaking fluid,seal failure
892,Motor is running at wrong speed,speed control
893,Temperature sensor shows incorrect readings,calibration error
894,The valve is stuck in closed position,mechanical jam
895,Wire insulation is damaged,insulation damage
896,The gear teeth are worn down,wear and tear
897,Pump is not delivering enough pressure,pressure issue
898,The filter is clogged with debris,blockage
899,Circuit breaker keeps tripping,electrical fault
900,The spring has lost its tension,spring failure
901,The screw is too small for the hole,sizing issue
902,Bolt does not fit properly in the socket,fitting problem
903,The part is cracked and needs replacement,component damage
904,Machine is overheating during operation,thermal issue
905,Component is loose and vibrating,mechanical failure
906,The material is bent and deformed,structural damage
907,Electrical connection is faulty,electrical fault
908,Sensor is not responding correctly,sensor malfunction
909,The bearing is worn out and noisy,wear and tear
910,Hydraulic pressure is too low,pressure issue
911,The gasket is leaking fluid,seal failure
912,Motor is running at wrong speed,speed control
913,Temperature sensor shows incorrect readings,calibration error
914,The valve is stuck in closed position,mechanical jam
915,Wire insulation is damaged,insulation damage
916,The gear teeth are worn down,wear and tear
917,Pump is not delivering enough pressure,pressure issue
918,The filter is clogged with debris,blockage
919,Circuit breaker keeps tripping,electrical fault
920,The spring has lost its tension,spring failure
921,The screw is too small for the hole,sizing issue
922,Bolt does not fit properly in the socket,fitting problem
923,The part is cracked and needs replacement,component damage
924,Machine is overheating during operation,thermal issue
925,Component is loose and vibrating,mechanical failure
926,The material is bent and deformed,structural damage
927,Electrical connection is faulty,electrical fault
928,Sensor is not responding correctly,sensor malfunction
929,The bearing is worn out and noisy,wear and tear
930,Hydraulic pressure is too low,pressure issue
931,The gasket is leaking fluid,seal failure
932,Motor is running at wrong speed,speed control
933,Temperature sensor shows incorrect readings,calibration error
934,The valve is stuck in closed position,mechanical jam
935,Wire insulation is damaged,insulation damage
936,The gear teeth are worn down,wear and tear
937,Pump is not delivering enough pressure,pressure issue
938,The filter is clogged with debris,blockage
939,Circuit breaker keeps tripping,electrical fault
940,The spring has lost its tension,spring failure
941,The screw is too small for the hole,sizing issue
942,Bolt does not fit properly in the socket,fitting problem
943,The part is cracked and needs replacement,component damage
944,Machine is overheating during operation,thermal issue
945,Component is loose and vibrating,mechanical failure
946,The material is bent and deformed,structural damage
947,Electrical connection is faulty,electrical fault
948,Sensor is not responding correctly,sensor malfunction
949,The bearing is worn out and noisy,wear and tear
950,Hydraulic pressure is too low,pressure issue
951,The gasket is leaking fluid,seal failure
952,Motor is running at wrong speed,speed control
953,Temperature sensor shows incorrect readings,calibration error
954,The valve is stuck in closed position,mechanical jam
955,Wire insulation is damaged,insulation damage
956,The gear teeth are worn down,wear and tear
957,Pump is not delivering enough pressure,pressure issue
958,The filter is clogged with debris,blockage
959,Circuit breaker keeps tripping,electrical fault
960,The spring has lost its tension,spring failure
961,The screw is too small for the hole,sizing issue
962,Bolt does not fit properly in the socket,fitting problem
963,The part is cracked and needs replacement,component damage
964,Machine is overheating during operation,thermal issue
965,Component is loose and vibrating,mechanical failure
966,The material is bent and deformed,structural damage
967,Electrical connection is faulty,electrical fault
968,Sensor is not responding correctly,sensor malfunction
969,The bearing is worn out and noisy,wear and tear
970,Hydraulic pressure is too low,pressure issue
971,The gasket is leaking fluid,seal failure
972,Motor is running at wrong speed,speed control
973,Temperature sensor shows incorrect readings,calibration error
974,The valve is stuck in closed position,mechanical jam
975,Wire insulation is damaged,insulation damage
976,The gear teeth are worn down,wear and tear
977,Pump is not delivering enough pressure,pressure issue
978,The filter is clogged with debris,blockage
979,Circuit breaker keeps tripping,electrical fault
980,The spring has lost its tension,spring failure
981,The screw is too small for the hole,sizing issue
982,Bolt does not fit properly in the socket,fitting problem
983,The part is cracked and needs replacement,component damage
984,Machine is overheating during operation,thermal issue
985,Component is loose and vibrating,mechanical failure
986,The material is bent and deformed,structural damage
987,Electrical connection is faulty,electrical fault
988,Sensor is not responding correctly,sensor malfunction
989,The bearing is worn out and noisy,wear and tear
990,Hydraulic pressure is too low,pressure issue
991,The gasket is leaking fluid,seal failure
992,Motor is running at wrong speed,speed control
993,Temperature sensor shows incorrect readings,calibration error
994,The valve is stuck in closed position,mechanical jam
995,Wire insulation is damaged,insulation damage
996,The gear teeth are worn down,wear and tear
997,Pump is not delivering enough pressure,pressure issue
998,The filter is clogged with debris,blockage
999,Circuit breaker keeps tripping,electrical fault
1000,The spring has lost its tension,spring failure
